source,target,status,rule,confidence
/en/coleccion/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/5-cents-john-ringling-a4895/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/5-cents-john-ringling-a4895/,301,existing,high
/en/coleccion/united-states/miscellaneous/giori-test-note-lincoln-memorial/,/en/collection/united-states/miscellaneous/giori-test-note-lincoln-memorial/,301,existing,high
/en/coleccion/united-states/mpc-vietnam/,/en/collection/united-states/mpc-vietnam/,301,existing,high
/en/coleccion/united-states/mpc-vietnam/1-dollar-series-681/,/en/collection/united-states/mpc-vietnam/1-dollar-series-681/,301,existing,high
/en/coleccion/united-states/mpc-vietnam/10-dollars-series-641/,/en/collection/united-states/mpc-vietnam/10-dollars-series-641/,301,existing,high
/en/coleccion/united-states/mpc-vietnam/20-dollars-series-692/,/en/collection/united-states/mpc-vietnam/20-dollars-series-692/,301,existing,high
/en/coleccion/united-states/mpc-vietnam/5-dollars-series-661/,/en/collection/united-states/mpc-vietnam/5-dollars-series-661/,301,existing,high
/en/coleccion/united-states/rency/,/en/collection/united-states/rency/,301,existing,high
/en/coleccion/united-states/rency/life-is-beautiful-life-spray/,/en/collection/united-states/rency/life-is-beautiful-life-spray/,301,existing,high
/en/coleccion/united-states/rency/messi-you-have-to-fight-to-reach-your-dream/,/en/collection/united-states/rency/messi-you-have-to-fight-to-reach-your-dream/,301,existing,high
/en/coleccion/united-states/rency/pele-the-beautiful-game/,/en/collection/united-states/rency/pele-the-beautiful-game/,301,existing,high
/en/coleccion/united-states/rency/trump-never-surrender/,/en/collection/united-states/rency/trump-never-surrender/,301,existing,high
/en/coleccion/united-states/rency/warhol-basquiat-life-is-beautiful/,/en/collection/united-states/rency/warhol-basquiat-life-is-beautiful/,301,existing,high
/en/collection/,/en/collection/,200,exists,high
/en/collection/colombia/1-peso-oro-1954/,/en/collection/colombia/1-peso-oro-1954/,200,exists,high
/en/collection/colombia/10-pesos-oro-1943-anverso,/en/collection/colombia/10-pesos-oro-1943/,301,existing,high
/en/collection/colombia/10-pesos-oro-1943-reverso,/en/collection/colombia/10-pesos-oro-1943/,301,existing,high
/en/collection/colombia/2-pesos-oro-1955,/en/collection/colombia/2-pesos-oro-1944/,301,existing,high
/en/collection/colombia/banco-de-la-republica-2000-pesos-oro,/en/collection/colombia/2000-pesos-oro-1983/,301,existing,high
/en/collection/filipinas/,/en/collection/philippines/,301,category-hub,high
/en/collection/united-states/renci,/en/collection/united-states/rency/,301,existing,high
/en/collection/united-states/renci/messi-you-have-to-fight-to-reach-your-dream,/en/collection/united-states/rency/messi-you-have-to-fight-to-reach-your-dream/,301,existing,high
/en/collection/united-states/renci/pele-the-beautiful-game,/en/collection/united-states/rency/pele-the-beautiful-game/,301,existing,high
/en/collection/united-states/renci/trump-never-surrender,/en/collection/united-states/rency/trump-never-surrender/,301,existing,high
/en/collection/united-states/renci/warhol-basquiat-life-is-beautiful,/en/collection/united-states/rency/warhol-basquiat-life-is-beautiful/,301,existing,high
/en/collection/world-polymer/canada,/en/collection/world-polymer/Canada/,301,existing,high
/en/collection/world-polymer/north-america/canada,/en/collection/world-polymer/Canada/,301,existing,high
/en/contact.dc.html,/en/contact/,301,existing,high
/en/contacto/,/en/contact/,301,existing,high
/en/glosario/,/en/glossary/,301,existing,high
/en/glosario/remainder/,/en/glossary/remainder/,301,last-slug,high
/en/glossary/remainder/,/en/glossary/remainder/,200,exists,high
/en/netherlands-numismatica,/en/collection/netherlands-numismatics/,301,existing,high
/en/netherlands-numismatica/ducado-utrecht-1761,/en/collection/netherlands-numismatics/ducado-utrecht-1761/,301,existing,high
/en/nosotros,/en/about/,301,existing,high
/en/noticias/,/en/news/,301,existing,high
/en/paises-bajos-numismatica,/en/collection/netherlands-numismatics/,301,existing,high
/en/paises-bajos-numismatica/ducado-utrecht-1761,/en/collection/netherlands-numismatics/ducado-utrecht-1761/,301,existing,high
/en/politica-privacidad-cookies/,/en/privacy-cookies/,301,existing,high
/en/sobre-mi,/en/about/,301,existing,high
/nosotros,/acerca-de/,301,existing,high
/paises-bajos-numismatica,/coleccion/paises-bajos-numismatica/,301,existing,high
/paises-bajos-numismatica/ducado-utrecht-1761,/coleccion/paises-bajos-numismatica/ducado-utrecht-1761/,301,existing,high
/sobre-mi,/acerca-de/,301,existing,high
/tienda/carrito/,,410,gone,high
/wp-content/uploads/old-shop,,410,gone,high
